user_id,loyalty_score
user_1,0.3333333333333333
user_10,0.42857142857142855
user_100,0.3333333333333333
user_11,0.36363636363636365
user_12,0.4444444444444444
user_13,0.3333333333333333
user_14,0.3333333333333333
user_15,0.2727272727272727
user_16,0.5
user_17,0.36363636363636365
user_18,0.4166666666666667
user_19,0.2857142857142857
user_2,0.4
user_20,0.3333333333333333
user_21,0.3333333333333333
user_22,0.36363636363636365
user_23,0.25
user_24,0.3333333333333333
user_25,0.3
user_26,0.4
user_27,0.3333333333333333
user_28,0.6666666666666666
user_29,0.36363636363636365
user_3,0.3
user_30,0.6666666666666666
user_31,0.3
user_32,0.42857142857142855
user_33,0.6
user_34,0.4
user_35,0.375
user_36,0.5
user_37,0.4444444444444444
user_38,0.36363636363636365
user_4,0.5
user_40,0.5
user_41,0.36363636363636365
user_42,0.2222222222222222
user_43,0.3333333333333333
user_44,0.3333333333333333
user_45,0.5
user_46,0.4
user_47,0.4166666666666667
user_48,0.36363636363636365
user_49,0.3333333333333333
user_5,0.3
user_50,0.375
user_51,0.3333333333333333
user_52,0.5555555555555556
user_53,0.2222222222222222
user_54,0.2727272727272727
user_55,0.4444444444444444
user_56,0.375
user_57,0.36363636363636365
user_58,0.36363636363636365
user_59,0.29411764705882354
user_6,0.26666666666666666
user_60,0.3
user_61,0.42857142857142855
user_62,0.3333333333333333
user_63,0.375
user_64,0.5
user_65,0.36363636363636365
user_66,0.3333333333333333
user_67,0.5
user_68,0.625
user_69,0.46153846153846156
user_7,0.4
user_70,0.4444444444444444
user_71,0.3125
user_72,0.4444444444444444
user_73,0.4
user_74,0.5
user_75,0.75
user_76,0.3
user_77,0.3333333333333333
user_78,0.3333333333333333
user_79,0.375
user_8,0.5
user_80,0.3333333333333333
user_81,0.5454545454545454
user_82,0.5
user_83,0.2857142857142857
user_84,0.3333333333333333
user_85,0.38461538461538464
user_86,0.4166666666666667
user_87,0.4
user_88,0.45454545454545453
user_89,0.3333333333333333
user_9,0.2727272727272727
user_90,0.3333333333333333
user_91,0.3
user_92,0.3076923076923077
user_93,0.2
user_94,0.4166666666666667
user_95,0.3333333333333333
user_96,0.6
user_97,0.3125
user_98,0.4166666666666667
user_99,0.42857142857142855
